PUBLISHER NAME,BUYER NAME,SMOG,Flesch Reading Ease,Standard
ACM,Four universities,23,-0.67,27
BIO,U. California,21.5,2.08,25
ELSEVIER,Sweden,18.9,22.92,20
ROYAL SOCIETY,Max Planck,24.7,-5.07,33
SAGE,Germany,20.1,7.56,24
SPRINGER,U. California,25.2,-26.21,39
