PUBLISHER-INSTITUTION, SMOG, FLESCH READING EASE, STANDARD
ACM-CMU, 21.2 , 5.36 , 27.0
ACM-UC, 26.0 , -33.12 , 41.0
ACM-IOWA, 20.3 , 10.74 , 25.0
